id,name,position,recorded_games,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,blk,stl,to,pf,pts,plus_minus,off_rating,def_rating,ast_pct,ast_tov,ast_ratio,oreb_pct,dreb_pct,treb_pct,tm_tov_pct,efg_pct,ts_pct,usg_pct,pace,pie,shot_distance,shot_made_flag,loc_x,loc_y,event_type-Missed Shot,event_type-Made Shot,action_type-Fadeaway Bank shot,action_type-Running Layup Shot,action_type-Jump Bank Hook Shot,action_type-Driving Floating Jump Shot,action_type-Step Back Jump shot,action_type-Slam Dunk Shot,action_type-Tip Layup Shot,action_type-Driving Dunk Shot,action_type-Hook Shot,action_type-Running Alley Oop Layup Shot,action_type-Running Tip Shot,action_type-Running Pull-Up Jump Shot,action_type-Fadeaway Jump Shot,action_type-Putback Dunk Shot,action_type-Tip Dunk Shot,action_type-Running Reverse Layup Shot,action_type-Running Finger Roll Layup Shot,action_type-Putback Layup Shot,action_type-Step Back Bank Jump Shot,action_type-No Shot,action_type-Turnaround Jump Shot,action_type-Floating Jump shot,action_type-Jump Shot,action_type-Layup Shot,action_type-Reverse Layup Shot,action_type-Turnaround Fadeaway shot,action_type-Hook Bank Shot,action_type-Driving Jump shot,action_type-Cutting Dunk Shot,action_type-Driving Hook Shot,action_type-Running Alley Oop Dunk Shot,action_type-Alley Oop Layup shot,action_type-Turnaround Bank Hook Shot,action_type-Jump Bank Shot,action_type-Reverse Dunk Shot,action_type-Driving Floating Bank Jump Shot,action_type-Turnaround Fadeaway Bank Jump Shot,action_type-Running Dunk Shot,action_type-Tip Shot,action_type-Running Jump Shot,action_type-Running Hook Shot,action_type-Putback Slam Dunk Shot,action_type-Driving Bank Hook Shot,action_type-Turnaround Hook Shot,action_type-Cutting Finger Roll Layup Shot,action_type-Running Bank shot,action_type-Pullup Jump shot,action_type-Alley Oop Dunk Shot,action_type-Reverse Slam Dunk Shot,action_type-Running Slam Dunk Shot,action_type-Driving Bank shot,action_type-Driving Slam Dunk Shot,action_type-Running Reverse Dunk Shot,action_type-Pullup Bank shot,action_type-Jump Hook Shot,action_type-Driving Reverse Dunk Shot,action_type-Driving Finger Roll Layup Shot,action_type-Dunk Shot,action_type-Turnaround Bank shot,action_type-Driving Layup Shot,action_type-Cutting Layup Shot,action_type-Driving Reverse Layup Shot,action_type-Running Bank Hook Shot,action_type-Finger Roll Layup Shot,shot_zone_basic-Left Corner 3,shot_zone_basic-Right Corner 3,shot_zone_basic-Mid-Range,shot_zone_basic-In The Paint (Non-RA),shot_zone_basic-Restricted Area,shot_zone_basic-Backcourt,shot_zone_basic-Above the Break 3,shot_zone_range-16-24 ft.,shot_zone_range-Back Court Shot,shot_zone_range-24+ ft.,shot_zone_range-Less Than 8 ft.,shot_zone_range-8-16 ft.,shot_type-3PT Field Goal,shot_type-2PT Field Goal,shot_zone_area-Right Side(R),shot_zone_area-Center(C),shot_zone_area-Left Side(L),shot_zone_area-Left Side Center(LC),shot_zone_area-Back Court(BC),shot_zone_area-Right Side Center(RC)
2048,Jamaal Magloire,Center,34,10.674999999999999,0.5,1.3235294117647058,0.0,0.0,0.20588235294117646,0.7941176470588235,0.7352941176470589,2.588235294117647,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.6470588235294118,1.9411764705882353,1.2058823529411764,0.9705882352941176,102.94411764705882,95.50588235294116,0.022029411764705884,0.11764705882352941,4.961764705882352,0.08702941176470588,0.27176470588235296,0.0,22.77941176470588,0.27058823529411763,0.25994117647058823,0.09594117647058824,89.25117647058823,0.015470588235294114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2052,DeShawn Stevenson,Wing,51,18.678758169934635,0.9607843137254902,3.372549019607843,0.803921568627451,2.843137254901961,0.17647058823529413,0.3137254901960784,0.13725490196078433,1.8431372549019607,0.803921568627451,0.0784313725490196,0.37254901960784315,0.37254901960784315,1.1568627450980393,2.9019607843137254,-3.215686274509804,77.28039215686275,101.8862745098039,0.07256862745098037,0.22549019607843138,17.119607843137256,0.006215686274509804,0.10600000000000001,0.0,8.75686274509804,0.3108627450980392,0.3168039215686275,0.09403921568627452,92.43627450980392,0.024372549019607847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,Eduardo Najera,Forward,22,12.015151515151514,1.0909090909090908,2.909090909090909,0.36363636363636365,1.3181818181818181,0.09090909090909091,0.18181818181818182,0.5,1.7727272727272727,0.5454545454545454,0.18181818181818182,0.8636363636363636,0.3181818181818182,1.8181818181818181,2.6363636363636362,-1.8636363636363635,89.91363636363634,107.40454545454546,0.05736363636363637,0.22727272727272727,10.122727272727273,0.04877272727272727,0.16613636363636364,0.0,6.068181818181818,0.41795454545454547,0.42368181818181816,0.12413636363636363,93.44545454545454,-0.1737272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2734,Devin Harris,Guard,67,27.28308457711443,3.8059701492537314,8.686567164179104,1.1940298507462686,3.373134328358209,2.4029850746268657,3.1492537313432836,0.1791044776119403,1.5671641791044777,4.865671641791045,0.208955223880597,1.0,2.0,2.208955223880597,11.208955223880597,0.8955223880597015,106.24126984126983,104.3079365079365,0.2732063492063493,2.469206349206349,29.80952380952381,0.007714285714285714,0.06465079365079365,0.0,11.78888888888889,0.4973809523809524,0.5410793650793652,0.19825396825396827,94.58682539682536,0.09373015873015876,0,0,0,0,0.42998897464167585,0.5700110253583242,0.0,0.0,0.0,0.0,0.0,0.008820286659316428,0.0,0.0,0.05402425578831312,0.006615214994487321,0.11907386990077178,0.004410143329658214,0.0,0.005512679162072767,0.002205071664829107,0.0,0.0,0.002205071664829107,0.017640573318632856,0.0,0.011025358324145534,0.5468577728776185,0.0,0.0011025358324145535,0.006615214994487321,0.0011025358324145535,0.013230429988974642,0.012127894156560088,0.0,0.06174200661521499,0.0,0.0,0.0,0.0,0.0,0.004410143329658214,0.013230429988974642,0.0,0.0,0.0,0.0033076074972436605,0.0,0.011025358324145534,0.0,0.006615214994487321,0.018743109151047408,0.0,0.0,0.0,0.0,0.03307607497243661,0.0,0.0,0.0,0.0,0.005512679162072767,0.0011025358324145535,0.0011025358324145535,0.0,0.0,0.0,0.0,0.0011025358324145535,0.026460859977949284,0.07276736493936053,0.33076074972436603,0.05292171995589857,0.012127894156560088,0.14002205071664828,0.08930540242557883,0.30209481808158767,0.013230429988974642,0.35611907386990077,0.4553472987872106,0.07056229327453142,0.10474090407938258,0.4685777287761852,0.5314222712238148,0.4553472987872106,0.013230429988974642,0.1609702315325248,0.16979051819184124,0.10584343991179714,0.09481808158765159
2072,Michael Redd,Guard,51,14.831372549019612,2.823529411764706,7.0588235294117645,0.8235294117647058,2.588235294117647,1.7254901960784315,2.176470588235294,0.27450980392156865,1.2352941176470589,0.6470588235294118,0.0,0.2549019607843137,0.7254901960784313,0.5686274509803921,8.196078431372548,-2.372549019607843,97.31372549019606,110.2607843137255,0.07260784313725491,0.33980392156862743,7.931372549019609,0.019823529411764705,0.10786274509803923,0.0,8.937254901960783,0.37643137254901954,0.4432745098039216,0.25633333333333336,94.30882352941178,0.11539215686274508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200745,Andrea Bargnani,Center,31,33.41881720430108,6.741935483870968,15.612903225806452,1.096774193548387,3.7096774193548385,4.870967741935484,5.580645161290323,0.7741935483870968,4.774193548387097,1.967741935483871,0.4838709677419355,0.5806451612903226,2.225806451612903,1.6774193548387097,19.451612903225808,-1.4516129032258065,101.86451612903228,103.80967741935481,0.11496774193548388,1.058064516129032,8.938709677419356,0.028290322580645167,0.16867741935483874,0.0,9.79032258064516,0.4513548387096774,0.530741935483871,0.2898387096774194,91.09483870967745,0.12864516129032258,0,0,0,0,0.4570552147239264,0.5429447852760736,0.0,0.0,0.0015337423312883436,0.015337423312883436,0.0015337423312883436,0.0,0.0015337423312883436,0.0,0.024539877300613498,0.0,0.027607361963190184,0.003067484662576687,0.0,0.02147239263803681,0.0,0.0015337423312883436,0.0,0.004601226993865031,0.006134969325153374,0.012269938650306749,0.0,0.7223926380368099,0.006134969325153374,0.0,0.0,0.0015337423312883436,0.0,0.009202453987730062,0.0015337423312883436,0.0598159509202454,0.0,0.0,0.0,0.0015337423312883436,0.0,0.0015337423312883436,0.007668711656441718,0.0015337423312883436,0.0,0.0015337423312883436,0.004601226993865031,0.0,0.004601226993865031,0.0,0.0,0.0,0.010736196319018405,0.0,0.0,0.0,0.0015337423312883436,0.0,0.0,0.0,0.0,0.027607361963190184,0.0,0.004601226993865031,0.0,0.0,0.0015337423312883436,0.0,0.0,0.009202453987730062,0.0,0.0843558282208589,0.0,0.0015337423312883436,0.5414110429447853,0.200920245398773,0.17177914110429449,0.0015337423312883436,0.25766871165644173,0.0843558282208589,0.25153374233128833,0.4049079754601227,0.08588957055214724,0.9141104294478528,0.5429447852760736,0.0015337423312883436,0.1441717791411043,0.09969325153374232,0.1196319018404908,0.09202453987730061
200746,LaMarcus Aldridge,Forward,55,36.26727272727272,8.763636363636364,17.10909090909091,0.03636363636363636,0.2,4.054545454545455,4.9818181818181815,2.727272727272727,5.3090909090909095,2.4363636363636365,0.8181818181818182,0.9272727272727272,2.018181818181818,2.7818181818181817,21.618181818181817,2.709090909090909,105.71272727272726,101.5963636363636,0.1266,1.2081818181818182,9.976363636363635,0.08472727272727275,0.17514545454545455,0.0,8.26181818181818,0.5178909090909091,0.5614545454545453,0.2787818181818182,92.92654545454546,0.15254545454545457,0,0,0,0,0.48443735035913804,0.515562649640862,0.0007980845969672786,0.002793296089385475,0.005985634477254589,0.02753391859537111,0.009976057462090982,0.0003990422984836393,0.003591380686352753,0.0,0.017158818834796488,0.0,0.015163607342378291,0.0019952114924181963,0.0003990422984836393,0.028332003192338386,0.0003990422984836393,0.0,0.0007980845969672786,0.023543495610534718,0.0031923383878691143,0.013168395849960097,0.0007980845969672786,0.5023942537909019,0.01675977653631285,0.0,0.0,0.010375099760574621,0.004788507581803671,0.023942537909018357,0.0003990422984836393,0.10734237829209896,0.0,0.0051875498802873106,0.012769353551476457,0.002793296089385475,0.0007980845969672786,0.004389465283320032,0.00558659217877095,0.0011971268954509178,0.004788507581803671,0.0011971268954509178,0.008379888268156424,0.0,0.0011971268954509178,0.0,0.0019952114924181963,0.0015961691939345571,0.015163607342378291,0.0003990422984836393,0.0,0.0007980845969672786,0.0019952114924181963,0.0,0.0,0.0,0.0,0.07901037509976057,0.0,0.002793296089385475,0.0019952114924181963,0.0,0.007182761372705506,0.005985634477254589,0.0007980845969672786,0.009976057462090982,0.009177972865123703,0.03192338387869114,0.007581803671189146,0.0003990422984836393,0.5303272146847566,0.16201117318435754,0.25857940941739826,0.0003990422984836393,0.36233040702314445,0.04868316041500399,0.2501995211492418,0.3383878691141261,0.04908220271348763,0.9509177972865124,0.4880287310454908,0.0003990422984836393,0.07262569832402235,0.11452513966480447,0.09177972865123703,0.2326416600159617
200749,Shelden Williams,Center,58,21.823275862068968,1.6551724137931034,3.4655172413793105,0.0,0.0,1.3103448275862069,1.793103448275862,2.4310344827586206,3.603448275862069,0.603448275862069,0.6724137931034483,0.8103448275862069,1.1379310344827587,2.5689655172413794,4.620689655172414,-4.068965517241379,96.32241379310348,108.77068965517245,0.04089655172413793,0.2801724137931034,8.415517241379309,0.11501724137931035,0.21262068965517245,0.0,20.915517241379312,0.4505,0.48160344827586204,0.11010344827586206,91.67206896551721,0.06472413793103449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200751,Randy Foye,Guard,76,25.911622807017533,3.75,9.447368421052632,1.855263157894737,4.75,1.105263157894737,1.2894736842105263,0.3815789473684211,1.7236842105263157,2.1447368421052633,0.35526315789473684,0.6842105263157895,1.118421052631579,1.9605263157894737,10.460526315789474,-0.3026315789473684,102.56461538461535,103.84615384615387,0.1400769230769231,1.110153846153846,16.407692307692315,0.016338461538461534,0.08041538461538462,0.0,8.198461538461542,0.5115692307692308,0.5338615384615383,0.20310769230769224,92.04507692307693,0.06636923076923076,0,0,0,0,0.3584905660377358,0.6415094339622641,0.0,0.0,0.0,0.0,0.0022197558268590455,0.0011098779134295228,0.0,0.0,0.04661487236403995,0.0,0.08213096559378469,0.0,0.0,0.004439511653718091,0.0,0.0,0.0,0.0011098779134295228,0.0022197558268590455,0.0,0.0011098779134295228,0.7058823529411765,0.0011098779134295228,0.0,0.004439511653718091,0.0,0.018867924528301886,0.021087680355160933,0.0,0.049944506104328525,0.0,0.0011098779134295228,0.0011098779134295228,0.0,0.0,0.004439511653718091,0.011098779134295227,0.0,0.0,0.0,0.008879023307436182,0.0,0.0011098779134295228,0.0,0.0011098779134295228,0.0,0.0,0.0,0.0,0.0011098779134295228,0.005549389567147614,0.0,0.0,0.0,0.0,0.005549389567147614,0.0,0.0,0.0,0.0,0.0011098779134295228,0.0,0.0011098779134295228,0.014428412874583796,0.07769145394006659,0.43729189789123196,0.05549389567147614,0.005549389567147614,0.18423973362930077,0.058823529411764705,0.18091009988901222,0.005549389567147614,0.22752497225305215,0.5704772475027747,0.03440621531631521,0.16204217536071033,0.5760266370699223,0.4239733629300777,0.32519422863485015,0.005549389567147614,0.22752497225305215,0.22086570477247502,0.097669256381798,0.12319644839067703
200752,Rudy Gay,Forward,72,37.65902777777777,7.402777777777778,16.40277777777778,0.8055555555555556,2.6666666666666665,3.3472222222222223,4.208333333333333,1.9444444444444444,4.486111111111111,2.1805555555555554,0.7916666666666666,1.4444444444444444,2.5277777777777777,2.125,18.958333333333332,1.7638888888888888,102.1107692307692,100.22153846153846,0.10756923076923078,1.111230769230769,9.715384615384615,0.06210769230769231,0.14283076923076923,0.0,11.101538461538466,0.4774153846153847,0.5181846153846157,0.2513230769230769,93.15384615384613,0.11567692307692307,0,0,0,0,0.46086150995831404,0.539138490041686,0.0004631773969430292,0.003242241778601204,0.0018527095877721167,0.012042612320518759,0.018990273274664196,0.0009263547938860583,0.0041685965724872626,0.0,0.0523390458545623,0.0004631773969430292,0.042149143121815655,0.0004631773969430292,0.0,0.019453450671607225,0.0018527095877721167,0.0004631773969430292,0.0004631773969430292,0.005094951366373321,0.003242241778601204,0.01157943492357573,0.002779064381658175,0.539601667438629,0.0037054191755442334,0.0,0.002779064381658175,0.003242241778601204,0.012505789717461788,0.012968967114404817,0.004631773969430292,0.08615099583140343,0.0009263547938860583,0.0009263547938860583,0.005094951366373321,0.00555812876331635,0.0004631773969430292,0.006947660954145438,0.00555812876331635,0.007410838351088467,0.004631773969430292,0.0018527095877721167,0.009726725335803613,0.0,0.0013895321908290875,0.0,0.0004631773969430292,0.005094951366373321,0.009263547938860583,0.0,0.0,0.0,0.0037054191755442334,0.0,0.0009263547938860583,0.0,0.0,0.030569708198239925,0.0004631773969430292,0.01157943492357573,0.006484483557202408,0.002315886984715146,0.0041685965724872626,0.012505789717461788,0.0,0.014358499305233904,0.021306160259379342,0.15192218619731357,0.031496062992125984,0.0009263547938860583,0.28161185734136174,0.23761000463177398,0.27512737378415936,0.0018527095877721167,0.41963872163038446,0.20379805465493284,0.222325150532654,0.1523853635942566,0.20565076424270495,0.794349235757295,0.571560907827698,0.0018527095877721167,0.09958314034275127,0.07920333487725799,0.14080592867068087,0.10699397869383974
